Lasso coef,Lasso,MLR coef,MLR,AUTO (1=most influential),P1,P2,P3,p4,p5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19
0,,-0.84051891,5,Cylinders,5,5,5,5,,6,4,4,5,4,7,4,5,4,4,7,5,6,6
0,,"2.07930256,",3,Displacement,2,3,3,1,3,5,2,1,2,3,2,3,3,3,3,3,3,3,3
-0.16773691,4,-0.65163644,6,Horsepower,3,1,2,2,2,4,3,2,1,1,1,2,2,2,1,2,2,2,2
-4.54549985,1,-5.49205044,1,Weight,1,2,1,3,1,3,1,3,3,2,3,1,1,1,2,1,1,1,1
0,,0.22201407,7,Acceleration,7,7,7,6,4,7,7,7,4,5,4,6,6,6,5,5,4,7,4
1.99442996,2,2.76211888,2,Year,6,4,4,4,,2,5,5,6,6,5,5,4,5,6,4,6,4,5
0.308293,3,1.14731588,4,Origin,4,6,6,7,,1,6,6,7,7,6,7,7,7,7,6,7,5,7
,,,,,,,,,,,,,,,,,,,,,,,
,,,,Bike-sharing,,,,,,,,,,,,,,,,,,,
24.58945572,4,52.12093609,1,Hour,1,2,6,6,4,7,1,2,3,3,3,4,5,4,8,1,5,8,1
51.54585769,1,25.72084951,4,Month,5,6,7,7,,8,6,5,5,5,4,3,7,8,6,6,6,7,8
0,,-0.12240326,8,workingday,3,3,1,3,,4,8,8,2,8,8,6,8,6,1,5,8,4,6
0,,-0.77912041,7,holiday,2,4,2,4,,6,7,7,1,7,7,5,6,5,2,7,7,5,5
18.39723238,5,17.07484361,5,Temp,4,1,4,1,2,5,4,1,6,1,1,1,2,1,4,2,3,2,2
35.9575794,3,-44.58510916,2,Humidity,8,8,3,8,,3,3,3,7,2,6,7,4,7,5,4,1,6,7
-43.81032937,2,2.8682513,6,Windspeed,6,7,8,5,3,2,5,6,8,6,5,8,3,3,7,8,4,3,4
1.9333098,6,37.89943319,3,Atemp,7,5,5,2,1,1,2,4,4,4,2,2,1,2,3,3,2,1,3
,,,,Cigar,,,,,,,,,,,,,,,,,,,
-2.15051101,4,-3.15370485,7,State,1,7,7,7,,7,3,7,1,7,6,7,7,7,1,6,7,7,2
-21.94457292,1,-64.51648332,1,Year,6,6,6,6,,8,4,3,7,6,7,6,6,5,4,7,5,6,6
-2.57494979,3,-10.71520062,4,Pop,3,1,3,2,4,1,1,1,3,1,2,1,4,1,2,1,1,2,1
0,,7.22588012,5,Pop16,2,2,4,1,,2,2,2,2,2,1,2,5,2,3,2,2,1,7
0,,6.09888338,6,Cpi,4,5,5,5,3,5,5,4,6,3,5,5,1,6,6,5,6,5,3
14.36004098,2,27.64723541,2,Ndi,5,3,2,3,1,3,6,5,5,4,4,3,2,4,5,3,4,3,4
0,,23.41455603,3,Pimin,7,4,1,4,2,4,7,6,4,5,3,4,3,3,7,4,3,4,5
,,,,Sales,,,,,,,,,,,,,,,,,,,
0,,1.4435384,2,compPrice,,,,,,2,5,2,7,6,3,6,6,9,4,2,5,9,8
0,,0.364764,5,Income,6,4,2,1,,5,7,3,6,7,7,7,7,6,2,1,4,3,4
0,,0.90956105,3,Advertising,3,2,4,6,3,1,9,1,4,4,2,3,3,5,1,4,6,5,3
0,,-0.02954468,9,Population,2,3,3,5,,3,8,4,9,9,4,9,9,8,5,3,2,8,7
-0.25502032,1,-2.18592167,1,Price,1,1,1,3,1,6,3,5,2,2,1,1,1,1,3,6,1,1,1
0,,-0.72473507,4,Age,5,5,5,2,2,4,6,6,5,5,5,2,2,2,8,7,3,4,5
,,-0.11071867,6,Education,4,6,6,4,4,7,4,7,8,8,6,8,8,4,9,5,7,2,2
,,-0.07109871,7,Urban,,,,,,8,2,8,3,3,8,5,5,7,6,9,8,7,6
,,-0.05086245,8,US,,,,,,9,1,9,1,1,7,4,4,3,7,8,9,6,9